review_id,review_text,star_rating,date,business_name,business_category,platform,aspects,aspect_sentiments
7238,لا يوجد الدفع بالبطاقه عند الاستلام,3,2026-03-08 00:00:00,Noon,ecommerce,play_store,"[""app_experience"", ""delivery""]","{""app_experience"": ""negative"", ""delivery"": ""negative""}"
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,5,قبل يومين (2),ممشي مصر Mawlana Cafe,كافيه,google_maps,"[""cleanliness"", ""ambiance"", ""service""]","{""cleanliness"": ""positive"", ""ambiance"": ""positive"", ""service"": ""positive""}"
1975,"تجربة سيئة سألتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص
الاكل يعني كويس ولكن كمية قليلة جدا",1,قبل شهر,بيت لحم Beet Lahm,مطعم,google_maps,"[""service"", ""delivery"", ""food""]","{""service"": ""negative"", ""delivery"": ""negative"", ""food"": ""neutral""}"
3024,احلي مكان فزايد,5,قبل شهر,ذا بلكون كافيه الشيخ زايد,مطعم مأكولات ومشروبات,google_maps,"[""general""]","{""general"": ""positive""}"
5483,"الفطير حلو جدا
الاحجام تحفة
بالنسبه للسعر فا يعتبر من احسن الاسعار

البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه
حتس لو طلبتها سميكه هتجيلك رفيعه
انما الحشو تمام و طعم حلو
الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص",4,قبل سنة,The Best Restaurant,مطعم,google_maps,"[""food"", ""price""]","{""food"": ""positive"", ""price"": ""positive""}"
8003,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,1,2024-08-17 00:00:00,Shop,ecommerce,play_store,"[""none""]","{""none"": ""neutral""}"
1407,"من أجمل المطاعم التي اكلت فيها أكل عربي يمني.
ويتميز المطعم بالإتساع وتعدد الأماكن الخاصةمما يعطيك الإحساس بالراحة انت وعائلتك أو أصدقاؤك .",5,قبل 3 أسابيع,مطعم السدة للمأكولات اليمنية,مطعم يمني,google_maps,"[""food"", ""ambiance""]","{""food"": ""positive"", ""ambiance"": ""positive""}"
9273,جميلة,5,2026-03-02 00:00:00,Spotify,entertainment,play_store,"[""general""]","{""general"": ""positive""}"
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality
Chef Nawaf is doing his job perfectly 👌🏼
المكان أكثر من رائع ، النضافة عشرة على عشرة، الخدمة ممتازة ، الأكل تحفة، جودة عالية، الشيف نواف لطيف جداً و احترافية ممتازة.",5,قبل أسبوعين,مطعم ظاظا النيل,مطعم,google_maps,"[""ambiance"", ""cleanliness"", ""service"", ""food""]","{""ambiance"": ""positive"", ""cleanliness"": ""positive"", ""service"": ""positive"", ""food"": ""positive""}"
2028,"سى جدا جدا جدا
والله والله والله
مفيش مسؤول موجود.
مطعم فاشل فاشل",1,قبل 11 شهرًا,مطعم ريدان,مطعم أطباق اللحوم,google_maps,"[""service""]","{""service"": ""negative""}"
5360,الويتر(الذي يأخذ الاوردور) قمة في الغرور.....,3,قبل سنة,جاردن كورت كافيه,مقهى,google_maps,"[""service""]","{""service"": ""negative""}"
5696,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",5,قبل 3 أشهر,عيادة أسنان د. خالد شرف,عِيادة أسنان,google_maps,"[""service"", ""cleanliness"", ""ambiance""]","{""service"": ""positive"", ""cleanliness"": ""positive"", ""ambiance"": ""positive""}"
8800,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم بإعداد هذآ البرنامج الجميل,5,2026-02-05 00:00:00,Anghami,entertainment,play_store,"[""app_experience""]","{""app_experience"": ""positive""}"
5323,خدمه ممتازه,5,قبل شهرين,صيدليه نهى,صيدلية,google_maps,"[""service""]","{""service"": ""positive""}"
5580,💙💙💙,5,قبل 4 أشهر,Souror Dental Clinic,عِيادة أسنان,google_maps,"[""general""]","{""general"": ""positive""}"
5984,لااسف ولايستاهل نجمه خدمات سيئه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,1,قبل 6 أشهر,مجمع عيادات الرحاب التخصصي | MR Polyclinics,مركز طبي,google_maps,"[""service""]","{""service"": ""negative""}"
9610,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,1,2026-01-12 00:00:00,Wego,travel,play_store,"[""app_experience""]","{""app_experience"": ""negative""}"
8914,التطبيق ما يشغل الاغاني القديمة,1,2026-01-15 00:00:00,Anghami,entertainment,play_store,"[""app_experience""]","{""app_experience"": ""negative""}"
9630,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والأستاذ هشام جزاه الله خير الجزاء,5,2026-01-06 00:00:00,Wego,travel,play_store,"[""app_experience"", ""service""]","{""app_experience"": ""positive"", ""service"": ""positive""}"
6624,الموظفين سئء خدمه,2,2026-02-21 00:00:00,Careem,transport,play_store,"[""service""]","{""service"": ""negative""}"
6515,لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,1,2026-03-12 00:00:00,Careem,transport,play_store,"[""service"", ""app_experience"", ""price""]","{""service"": ""negative"", ""app_experience"": ""negative"", ""price"": ""negative""}"
4515,نوعا ما جيد,4,قبل سنة,Aboalyalshami,مطعم,google_maps,"[""general""]","{""general"": ""positive""}"
