review_id,review_text,star_rating,date,business_name,business_category,platform,aspects,aspect_sentiments
9,ممتاز,5,,,مركز تسوق,google_maps,general,general:positive
10,المكان جميل انبسطنا فيه,5,,,مركز تسوق,google_maps,ambiance,ambiance:positive
17,مكان تحفه واكل جميل,5,,,مطعم مأكولات مصرية,google_maps,"food,ambiance","food:positive,ambiance:positive"
37,حلو جدا ومميز,5,,,مركز تسوق,google_maps,general,general:positive
39,جميل,5,,,مركز تسوق,google_maps,"ambiance,general","ambiance:positive,general:positive"
44,جميل وفي كل الخدمات,5,,,مركز تسوق,google_maps,"service,ambiance","service:positive,ambiance:positive"
52,تمامً,5,,,مركز تسوق,google_maps,general,general:positive
54,مكان جميل,5,,,مركز تسوق,google_maps,"ambiance,general","ambiance:positive,general:positive"
57,مكان جيد و...,5,,,مركز تسوق,google_maps,"ambiance,general","ambiance:positive,general:positive"
58,مكان مناسب بجميع الاعمار,5,,,مركز تسوق,google_maps,ambiance,ambiance:positive
64,تجربة ممتازة,5,,,مركز تسوق,google_maps,general,general:positive
69,محلات متنوعه فى مكان مميز,5,,,مركز تسوق,google_maps,ambiance,ambiance:positive
76,حلو,5,,,مركز تسوق,google_maps,general,general:positive
77,•	“فندق جميل وهادي، والاهتمام بالتفاصيل واضح جدًا. شكرًا للإدارة على التجربة الرائعة,5,,,فندق,google_maps,"service,ambiance","service:positive,ambiance:positive"
85,فندق رائع و خدمة ممتازه,5,,,فندق,google_maps,"service,ambiance","service:positive,ambiance:positive"
92,مكان راقي لكن أسعار عالية,5,,,مركز تسوق,google_maps,"price,ambiance","price:positive,ambiance:positive"
93,جميل,5,,,مركز تسوق,google_maps,"ambiance,general","ambiance:positive,general:positive"
129,افضل مكان للأطفال الصغار والكبار,5,,,مركز تسوق,google_maps,ambiance,ambiance:positive
131,ممتاز,5,,,مركز تسوق,google_maps,general,general:positive
135,جيد جداً,5,,,سوق,google_maps,general,general:positive
145,"محدش يطلب منهم يا جماعة ❌❌❌
الاكل جاي بايت أقسم بالله ما يتاكل اتكلمنا اشتكينا راح قال هبدله كان المغرب أذن اصلا قولناله احنا خلاص قرفنا مش هنعرف ناكله، وصلنا لمدير الفرع بقوله تقدر تطلع اكل زي دا الصالة يقولي ""مستحيل!!!!""
بجد حسبي الله ونعم الوكيل مفيش ضمير ❌❌❌",5,,,مطعم مأكولات سورية,google_maps,"food,service,ambiance","food:negative,service:negative,ambiance:negative"
147,مطعم لطيف و اكله حلو,5,,,مطعم مأكولات سورية,google_maps,food,food:positive
