review_id,review_text,star_rating,date,business_name,business_category,platform
1,Incroyablement grand avec des belles boutiques et 8 étages complet. J'ai passé la journée là bas tout est propre même les toilettes,5,قبل 7 ساعات,مول سيتي ستارز.,مركز تسوق,google_maps
2,زحمه جدا,5,قبل 12 ساعة,مول سيتي ستارز.,مركز تسوق,google_maps
3,حلو فخم كشخة  محترم ورايق ينفع للعوائل الخليجية خصوصا انه اه مدخل للمول واًو,5,قبل يوم واحد,مول سيتي ستارز.,مركز تسوق,google_maps
4,طبعا غني عن التعريف بتاع البشوات,5,قبل يوم واحد,مول سيتي ستارز.,مركز تسوق,google_maps
5,Centro commerciale al Cairo... Molto grande e bello,5,قبل يومين (2),مول سيتي ستارز.,مركز تسوق,google_maps
6,Nice,5,قبل يومين (2),مول سيتي ستارز.,مركز تسوق,google_maps
7,Very nice shopping but expensive.,5,قبل 4 ساعات,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
8,روعة جدًا ولم أتوقع أن أجد مولًا في مصر مثل هذا، بصراحة أروع من مولات في السعودية.,5,قبل 20 ساعة,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
9,ممتاز,5,قبل 21 ساعة,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
10,المكان جميل انبسطنا فيه,5,قبل 23 ساعة,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
11,مكن ممتاز لتسوق و لقضاء يوم مع الاولاد,4,قبل يوم واحد,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
12,"This is our favorite family shopping spot in Cairo, where you’ll find numerous shops and a fantastic food court. Carrefour and Ikea make it a perfect shopping destination for families. Plus, there's plenty of parking available for your convenience.",5,قبل يوم واحد,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
13,"One star should be generous !
The security think themselves angles protecting Jahnan ! Super rude
No ramps for Handicapped or families with baby strollers !!!!!
No change tables in the washrooms
They blocked the food court so you can’t bring a stroller in !!!
So many weird stuff resulted from poor planning and managmen",1,قبل يوم واحد,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
14,جيد جدا,5,تاريخ التعديل: قبل يوم واحد,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
15,مول مميز,5,تاريخ التعديل: قبل يوم واحد,كايرو فستيفال سيتي مول,مركز تسوق,google_maps
17,مكان تحفه واكل جميل,5,قبل 9 ساعات,مطعم صبحي كابر,مطعم مأكولات مصرية,google_maps
18,مطعم صبحي كابر من المطاعم الشهيرة في مصر ويتميز بالطعم المصري الاصيل,5,قبل 11 ساعة,مطعم صبحي كابر,مطعم مأكولات مصرية,google_maps
20,Cibo di ottima qualità rispetto quello che c’è in giro a sharm. Servizio ottimo grazie ad Ali ( cameriere bravo),5,قبل يوم واحد,مطعم صبحي كابر,مطعم مأكولات مصرية,google_maps
22,الاكل نازل بارد والرز كان فيه شعره  الاستيك ناشف جدا بجد تجربه وحشه جدا فصيام اول واخر مره فرع الشيخ زايد,1,قبل 3 أيام,مطعم صبحي كابر,مطعم مأكولات مصرية,google_maps
27,Give them a small tip and they’ll treat you like a prince! Stayed a couple days in Cairo before eating here and was struggling with the food in Egypt until we found this place we constantly went back,5,قبل 5 أيام,مطعم صبحي كابر,مطعم مأكولات مصرية,google_maps
